wandb: Currently logged in as: yog1thun (yog1thun-peking-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 2k0sdzye
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in models/20260108-165245/wandb/run-20260108_165248-2k0sdzye
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run learner_2977856
wandb: ⭐️ View project at https://wandb.ai/yog1thun-peking-university/mahjong-rl
wandb: 🚀 View run at https://wandb.ai/yog1thun-peking-university/mahjong-rl/runs/2k0sdzye
Loaded pre-trained model from ckpt/20251230-175913/100.pkl
[Train] Iteration 0, total loss -0.0966, policy loss -51.1968, value loss 44.1821, entropy loss -0.0059, predict loss 6.9182
[Train] Iteration 55, total loss 6.3025, policy loss -7.8078, value loss 7.2325, entropy loss -0.0116, predict loss 6.8780
[Train] Iteration 56, total loss 5.5500, policy loss -6.3867, value loss 4.7462, entropy loss -0.0162, predict loss 7.1908
[Train] Iteration 57, total loss 12.2539, policy loss -6.8167, value loss 12.0644, entropy loss -0.0112, predict loss 7.0064
[Train] Iteration 58, total loss 14.5017, policy loss -7.3782, value loss 14.8091, entropy loss -0.0154, predict loss 7.0711
[Train] Iteration 59, total loss 12.5933, policy loss -6.9104, value loss 12.8082, entropy loss -0.0074, predict loss 6.6957
[Train] Iteration 60, total loss 5.3970, policy loss -6.0600, value loss 4.4298, entropy loss -0.0109, predict loss 7.0274
[Train] Iteration 61, total loss 5.2994, policy loss -6.4038, value loss 5.0111, entropy loss -0.0172, predict loss 6.6924
[Train] Iteration 62, total loss 5.3556, policy loss -6.5798, value loss 5.1755, entropy loss -0.0114, predict loss 6.7601
[Train] Iteration 63, total loss 17.9904, policy loss -6.6359, value loss 18.0520, entropy loss -0.0093, predict loss 6.5745
[Train] Iteration 64, total loss 12.7675, policy loss -6.8004, value loss 12.9738, entropy loss -0.0200, predict loss 6.5944
[Train] Iteration 65, total loss 12.6655, policy loss -6.3291, value loss 11.8400, entropy loss -0.0117, predict loss 7.1549
[Train] Iteration 66, total loss 7.0198, policy loss -7.2524, value loss 7.3447, entropy loss -0.0055, predict loss 6.9276
[Train] Iteration 67, total loss 14.6224, policy loss -6.7385, value loss 14.5088, entropy loss -0.0176, predict loss 6.8525
[Train] Iteration 68, total loss 5.5782, policy loss -6.4094, value loss 5.3487, entropy loss -0.0200, predict loss 6.6393
[Train] Iteration 69, total loss 4.3629, policy loss -5.7858, value loss 3.7261, entropy loss -0.0141, predict loss 6.4229
[Train] Iteration 70, total loss 11.2565, policy loss -6.4621, value loss 11.5809, entropy loss -0.0088, predict loss 6.1379
[Train] Iteration 71, total loss 7.5414, policy loss -7.3327, value loss 8.6906, entropy loss -0.0148, predict loss 6.1838
[Train] Iteration 72, total loss 9.3545, policy loss -7.2079, value loss 9.2406, entropy loss -0.0111, predict loss 7.3220
[Train] Iteration 73, total loss 14.8955, policy loss -6.4316, value loss 14.3339, entropy loss -0.0076, predict loss 6.9934
[Train] Iteration 74, total loss 14.1333, policy loss -6.1766, value loss 13.2215, entropy loss -0.0211, predict loss 7.0889
[Train] Iteration 75, total loss 12.7679, policy loss -4.8799, value loss 10.9366, entropy loss -0.0084, predict loss 6.7114
[Train] Iteration 76, total loss 15.4897, policy loss -5.9749, value loss 14.5979, entropy loss -0.0095, predict loss 6.8669
[Train] Iteration 77, total loss 14.4340, policy loss -5.9962, value loss 13.9153, entropy loss -0.0139, predict loss 6.5152
[Train] Iteration 78, total loss 11.7588, policy loss -5.1378, value loss 9.9683, entropy loss -0.0155, predict loss 6.9285
[Train] Iteration 79, total loss 1.9640, policy loss -7.4810, value loss 2.5969, entropy loss -0.0127, predict loss 6.8483
[Train] Iteration 80, total loss 4.9716, policy loss -7.2610, value loss 5.5871, entropy loss -0.0082, predict loss 6.6456
[Train] Iteration 81, total loss 14.1176, policy loss -5.8789, value loss 13.3548, entropy loss -0.0077, predict loss 6.6418
[Train] Iteration 82, total loss 16.0911, policy loss -6.6018, value loss 15.7538, entropy loss -0.0082, predict loss 6.9393
[Train] Iteration 83, total loss 8.2126, policy loss -7.1018, value loss 8.1138, entropy loss -0.0079, predict loss 7.2007
[Train] Iteration 84, total loss 4.2860, policy loss -7.5564, value loss 4.9813, entropy loss -0.0178, predict loss 6.8615
[Train] Iteration 85, total loss 9.3046, policy loss -5.5945, value loss 8.1133, entropy loss -0.0039, predict loss 6.7859
[Train] Iteration 86, total loss 7.7608, policy loss -7.0402, value loss 8.0460, entropy loss -0.0159, predict loss 6.7553
[Train] Iteration 87, total loss 9.5582, policy loss -7.8460, value loss 10.8566, entropy loss -0.0159, predict loss 6.5479
[Train] Iteration 88, total loss 12.6152, policy loss -6.9322, value loss 13.0048, entropy loss -0.0100, predict loss 6.5428
[Train] Iteration 89, total loss 8.4232, policy loss -5.4849, value loss 7.5049, entropy loss -0.0097, predict loss 6.4033
[Train] Iteration 90, total loss 12.3753, policy loss -6.9451, value loss 12.7594, entropy loss -0.0087, predict loss 6.5611
[Train] Iteration 91, total loss 9.6970, policy loss -4.8547, value loss 7.3905, entropy loss -0.0085, predict loss 7.1613
[Train] Iteration 92, total loss 11.7573, policy loss -7.2464, value loss 11.5997, entropy loss -0.0135, predict loss 7.4043
[Train] Iteration 93, total loss 6.6432, policy loss -7.0159, value loss 7.1532, entropy loss -0.0067, predict loss 6.5060
[Train] Iteration 94, total loss 17.5097, policy loss -7.6839, value loss 18.2663, entropy loss -0.0013, predict loss 6.9274
[Train] Iteration 95, total loss 14.5838, policy loss -4.5994, value loss 12.1580, entropy loss -0.0086, predict loss 7.0253
[Train] Iteration 96, total loss 12.6891, policy loss -6.5170, value loss 12.0909, entropy loss -0.0240, predict loss 7.1157
[Train] Iteration 97, total loss 19.1727, policy loss -6.6548, value loss 19.2826, entropy loss -0.0147, predict loss 6.5452
[Train] Iteration 98, total loss 11.8987, policy loss -5.5471, value loss 10.4351, entropy loss -0.0201, predict loss 7.0111
[Train] Iteration 99, total loss 4.7319, policy loss -5.2295, value loss 2.9627, entropy loss -0.0150, predict loss 6.9990
[Train] Iteration 100, total loss 9.9907, policy loss -6.5878, value loss 9.2421, entropy loss -0.0129, predict loss 7.3368
[Train] Iteration 101, total loss 5.6910, policy loss -7.3237, value loss 6.2892, entropy loss -0.0115, predict loss 6.7257
[Train] Iteration 102, total loss 4.3961, policy loss -6.9186, value loss 4.7730, entropy loss -0.0121, predict loss 6.5420
[Train] Iteration 103, total loss 8.6123, policy loss -6.9204, value loss 9.0568, entropy loss -0.0121, predict loss 6.4762
[Train] Iteration 104, total loss 4.5115, policy loss -6.7537, value loss 4.9180, entropy loss -0.0101, predict loss 6.3474
[Train] Iteration 105, total loss 8.0751, policy loss -6.0001, value loss 7.1085, entropy loss -0.0100, predict loss 6.9669
[Train] Iteration 106, total loss 9.9877, policy loss -6.3015, value loss 9.6424, entropy loss -0.0171, predict loss 6.6472
[Train] Iteration 107, total loss 9.7829, policy loss -6.5796, value loss 10.0253, entropy loss -0.0132, predict loss 6.3374
[Train] Iteration 108, total loss 11.0863, policy loss -6.1871, value loss 10.5434, entropy loss -0.0152, predict loss 6.7302
[Train] Iteration 109, total loss 12.5298, policy loss -5.6117, value loss 11.5156, entropy loss -0.0042, predict loss 6.6260
[Train] Iteration 110, total loss 13.4520, policy loss -5.9535, value loss 12.7634, entropy loss -0.0150, predict loss 6.6424
[Train] Iteration 111, total loss 17.4014, policy loss -4.4083, value loss 15.4226, entropy loss -0.0144, predict loss 6.3873
[Train] Iteration 112, total loss 4.5453, policy loss -5.6571, value loss 3.3873, entropy loss -0.0096, predict loss 6.8152
[Train] Iteration 113, total loss 11.3370, policy loss -6.7453, value loss 11.6291, entropy loss -0.0077, predict loss 6.4533
[Train] Iteration 114, total loss 8.7279, policy loss -6.2293, value loss 8.2573, entropy loss -0.0091, predict loss 6.7001
[Train] Iteration 115, total loss 4.9920, policy loss -6.8326, value loss 4.9206, entropy loss -0.0217, predict loss 6.9044
[Train] Iteration 116, total loss 14.2196, policy loss -5.7845, value loss 13.4453, entropy loss -0.0159, predict loss 6.5591
[Train] Iteration 117, total loss 8.0458, policy loss -5.8961, value loss 7.6579, entropy loss -0.0085, predict loss 6.2842
[Train] Iteration 118, total loss 6.9279, policy loss -7.7693, value loss 8.1777, entropy loss -0.0197, predict loss 6.5200
[Train] Iteration 119, total loss 4.0998, policy loss -6.2071, value loss 3.6400, entropy loss -0.0172, predict loss 6.6673
[Train] Iteration 120, total loss 9.1505, policy loss -6.8359, value loss 8.8228, entropy loss -0.0108, predict loss 7.1638
[Train] Iteration 121, total loss 8.2367, policy loss -6.5383, value loss 8.0869, entropy loss -0.0121, predict loss 6.6883
[Train] Iteration 122, total loss 6.1844, policy loss -5.3667, value loss 5.2845, entropy loss -0.0171, predict loss 6.2669
[Train] Iteration 123, total loss 8.9417, policy loss -6.1386, value loss 8.4544, entropy loss -0.0102, predict loss 6.6262
[Train] Iteration 124, total loss 4.8369, policy loss -6.5011, value loss 4.6509, entropy loss -0.0115, predict loss 6.6874
[Train] Iteration 125, total loss 8.5772, policy loss -6.8237, value loss 8.4024, entropy loss -0.0062, predict loss 6.9986
[Train] Iteration 126, total loss 11.6878, policy loss -5.7909, value loss 10.9632, entropy loss -0.0109, predict loss 6.5156
[Train] Iteration 127, total loss 13.2977, policy loss -6.4936, value loss 13.0316, entropy loss -0.0162, predict loss 6.7600
[Train] Iteration 128, total loss 5.3950, policy loss -7.9738, value loss 6.7879, entropy loss -0.0223, predict loss 6.5814
[Train] Iteration 129, total loss 13.5291, policy loss -6.8167, value loss 13.3371, entropy loss -0.0172, predict loss 7.0091
[Train] Iteration 130, total loss 11.0462, policy loss -6.4284, value loss 11.2581, entropy loss -0.0122, predict loss 6.2168
[Train] Iteration 131, total loss 13.4392, policy loss -6.1877, value loss 12.7900, entropy loss -0.0217, predict loss 6.8373
[Train] Iteration 132, total loss 13.5556, policy loss -5.4968, value loss 12.4328, entropy loss -0.0128, predict loss 6.6199
[Train] Iteration 133, total loss 8.8135, policy loss -6.2953, value loss 8.9244, entropy loss -0.0098, predict loss 6.1846
[Train] Iteration 134, total loss 13.0412, policy loss -6.6876, value loss 12.7219, entropy loss -0.0248, predict loss 7.0073
[Train] Iteration 135, total loss 7.7836, policy loss -4.7745, value loss 6.1826, entropy loss -0.0181, predict loss 6.3759
[Train] Iteration 136, total loss 14.0592, policy loss -6.0842, value loss 13.4423, entropy loss -0.0095, predict loss 6.7013
[Train] Iteration 137, total loss 6.3965, policy loss -6.5090, value loss 6.0465, entropy loss -0.0205, predict loss 6.8594
[Train] Iteration 138, total loss 4.5355, policy loss -6.7685, value loss 4.6480, entropy loss -0.0056, predict loss 6.6562
[Train] Iteration 139, total loss 20.1191, policy loss -6.4637, value loss 19.9400, entropy loss -0.0167, predict loss 6.6431
[Train] Iteration 140, total loss 10.5945, policy loss -6.0722, value loss 9.5881, entropy loss -0.0119, predict loss 7.0789
[Train] Iteration 141, total loss 9.3404, policy loss -6.4282, value loss 9.2719, entropy loss -0.0126, predict loss 6.4969
[Train] Iteration 142, total loss 8.6120, policy loss -6.0504, value loss 8.6143, entropy loss -0.0062, predict loss 6.0483
[Train] Iteration 143, total loss 4.8590, policy loss -5.6228, value loss 3.8128, entropy loss -0.0079, predict loss 6.6691
[Train] Iteration 144, total loss 7.7709, policy loss -7.7329, value loss 8.3864, entropy loss -0.0177, predict loss 7.1178
[Train] Iteration 145, total loss 2.1873, policy loss -6.8904, value loss 2.3625, entropy loss -0.0120, predict loss 6.7154
[Train] Iteration 146, total loss 9.2640, policy loss -5.7769, value loss 8.5556, entropy loss -0.0156, predict loss 6.4856
[Train] Iteration 147, total loss 13.0780, policy loss -6.2354, value loss 12.6337, entropy loss -0.0141, predict loss 6.6800
[Train] Iteration 148, total loss 10.4660, policy loss -7.0480, value loss 11.2734, entropy loss -0.0095, predict loss 6.2408
[Train] Iteration 149, total loss 7.2231, policy loss -6.9500, value loss 7.6817, entropy loss -0.0154, predict loss 6.4918
[Train] Iteration 150, total loss 8.6796, policy loss -6.3177, value loss 8.7393, entropy loss -0.0218, predict loss 6.2584
[Train] Iteration 151, total loss 7.9770, policy loss -6.7583, value loss 8.1068, entropy loss -0.0162, predict loss 6.6289
[Train] Iteration 152, total loss 16.4009, policy loss -7.1789, value loss 16.7703, entropy loss -0.0107, predict loss 6.8096
[Train] Iteration 153, total loss 9.2909, policy loss -5.9006, value loss 8.9692, entropy loss -0.0094, predict loss 6.2225
[Train] Iteration 154, total loss 11.3221, policy loss -6.9759, value loss 11.4427, entropy loss -0.0174, predict loss 6.8557
[Train] Iteration 155, total loss 8.5845, policy loss -6.1314, value loss 8.3732, entropy loss -0.0104, predict loss 6.3430
[Train] Iteration 156, total loss 7.8536, policy loss -5.7308, value loss 7.2408, entropy loss -0.0065, predict loss 6.3438
[Train] Iteration 157, total loss 5.8191, policy loss -6.4184, value loss 5.7252, entropy loss -0.0073, predict loss 6.5124
[Train] Iteration 158, total loss 14.8138, policy loss -6.5166, value loss 14.8906, entropy loss -0.0085, predict loss 6.4399
[Train] Iteration 159, total loss 7.6812, policy loss -5.4658, value loss 6.7700, entropy loss -0.0141, predict loss 6.3772
[Train] Iteration 160, total loss 5.5276, policy loss -5.8158, value loss 4.9488, entropy loss -0.0110, predict loss 6.3947
[Train] Iteration 161, total loss 10.5233, policy loss -7.1135, value loss 11.1996, entropy loss -0.0103, predict loss 6.4373
[Train] Iteration 162, total loss 9.4192, policy loss -5.8581, value loss 9.1126, entropy loss -0.0195, predict loss 6.1651
[Train] Iteration 163, total loss 7.3831, policy loss -5.6072, value loss 6.5001, entropy loss -0.0205, predict loss 6.4906
[Train] Iteration 164, total loss 10.4918, policy loss -6.9334, value loss 11.2406, entropy loss -0.0157, predict loss 6.1849
[Train] Iteration 165, total loss 6.0306, policy loss -6.0022, value loss 5.6955, entropy loss -0.0123, predict loss 6.3376
[Train] Iteration 166, total loss 9.6133, policy loss -6.5474, value loss 9.6155, entropy loss -0.0103, predict loss 6.5453
[Train] Iteration 167, total loss 11.5219, policy loss -6.8107, value loss 11.6253, entropy loss -0.0100, predict loss 6.7075
[Train] Iteration 168, total loss 8.4331, policy loss -6.5784, value loss 8.3403, entropy loss -0.0159, predict loss 6.6714
[Train] Iteration 169, total loss 6.0425, policy loss -5.4815, value loss 5.3583, entropy loss -0.0174, predict loss 6.1661
[Train] Iteration 170, total loss 5.9124, policy loss -6.5426, value loss 5.8095, entropy loss -0.0173, predict loss 6.6459
[Train] Iteration 171, total loss 9.1006, policy loss -6.7806, value loss 9.3122, entropy loss -0.0173, predict loss 6.5693
[Train] Iteration 172, total loss 11.8690, policy loss -6.7412, value loss 11.9750, entropy loss -0.0259, predict loss 6.6357
[Train] Iteration 173, total loss 10.5384, policy loss -6.6830, value loss 10.8170, entropy loss -0.0147, predict loss 6.4047
[Train] Iteration 174, total loss 2.9912, policy loss -6.7458, value loss 3.2653, entropy loss -0.0190, predict loss 6.4720
[Train] Iteration 175, total loss 10.3979, policy loss -7.5611, value loss 11.3469, entropy loss -0.0088, predict loss 6.6123
[Train] Iteration 176, total loss 7.0757, policy loss -5.4757, value loss 6.1128, entropy loss -0.0143, predict loss 6.4388
[Train] Iteration 177, total loss 8.8842, policy loss -5.5879, value loss 8.1796, entropy loss -0.0138, predict loss 6.2927
[Train] Iteration 178, total loss 11.9025, policy loss -7.3092, value loss 12.2034, entropy loss -0.0259, predict loss 7.0089
[Train] Iteration 179, total loss 9.7311, policy loss -6.2826, value loss 9.7724, entropy loss -0.0136, predict loss 6.2416
[Train] Iteration 180, total loss 1.9744, policy loss -6.8382, value loss 2.6007, entropy loss -0.0142, predict loss 6.2121
[Train] Iteration 181, total loss 11.9023, policy loss -4.8342, value loss 10.1127, entropy loss -0.0078, predict loss 6.6239
[Train] Iteration 182, total loss 14.0441, policy loss -5.5949, value loss 13.4156, entropy loss -0.0115, predict loss 6.2237
[Train] Iteration 183, total loss 10.7775, policy loss -6.0043, value loss 9.9976, entropy loss -0.0157, predict loss 6.7845
[Train] Iteration 184, total loss 9.1473, policy loss -6.4923, value loss 8.7665, entropy loss -0.0080, predict loss 6.8733
[Train] Iteration 185, total loss 10.0008, policy loss -6.3330, value loss 9.5818, entropy loss -0.0143, predict loss 6.7523
[Train] Iteration 186, total loss 15.7590, policy loss -0.3653, value loss 9.7576, entropy loss -0.0097, predict loss 6.3670
[Train] Iteration 187, total loss 10.7994, policy loss -6.0575, value loss 10.3489, entropy loss -0.0147, predict loss 6.5082
[Train] Iteration 188, total loss 12.9006, policy loss -6.1253, value loss 12.2217, entropy loss -0.0145, predict loss 6.8045
[Train] Iteration 189, total loss 12.4363, policy loss -7.8054, value loss 13.5115, entropy loss -0.0044, predict loss 6.7302
[Train] Iteration 190, total loss 11.8423, policy loss -6.8409, value loss 12.1427, entropy loss -0.0103, predict loss 6.5406
[Train] Iteration 191, total loss 7.4506, policy loss -5.4545, value loss 6.7173, entropy loss -0.0112, predict loss 6.1880
[Train] Iteration 192, total loss 4.9668, policy loss -5.3914, value loss 4.1909, entropy loss -0.0080, predict loss 6.1675
[Train] Iteration 193, total loss 14.2097, policy loss -6.8783, value loss 14.6860, entropy loss -0.0173, predict loss 6.4023
[Train] Iteration 194, total loss 1.5642, policy loss -6.2928, value loss 1.3044, entropy loss -0.0040, predict loss 6.5527
[Train] Iteration 195, total loss 7.2341, policy loss -5.4425, value loss 6.2341, entropy loss -0.0043, predict loss 6.4425
[Train] Iteration 196, total loss 6.1251, policy loss -5.1965, value loss 4.1938, entropy loss -0.0092, predict loss 7.1279
[Train] Iteration 197, total loss 8.1915, policy loss -4.1721, value loss 5.9522, entropy loss -0.0142, predict loss 6.4116
[Train] Iteration 198, total loss 11.1284, policy loss -6.2413, value loss 10.9337, entropy loss -0.0081, predict loss 6.4361
[Train] Iteration 199, total loss 10.3550, policy loss -4.9090, value loss 8.9287, entropy loss -0.0165, predict loss 6.3355
[Train] Iteration 200, total loss 8.4768, policy loss -5.4700, value loss 7.1310, entropy loss -0.0021, predict loss 6.8159
[Train] Iteration 201, total loss 13.3248, policy loss -6.7868, value loss 13.5608, entropy loss -0.0128, predict loss 6.5511
[Train] Iteration 202, total loss 10.6718, policy loss -5.4990, value loss 9.6750, entropy loss -0.0107, predict loss 6.4960
[Train] Iteration 203, total loss 17.5830, policy loss -5.3509, value loss 17.0986, entropy loss -0.0105, predict loss 5.8355
[Train] Iteration 204, total loss 6.8634, policy loss -6.2877, value loss 6.8830, entropy loss -0.0077, predict loss 6.2682
[Train] Iteration 205, total loss 5.8897, policy loss -6.4197, value loss 6.1591, entropy loss -0.0072, predict loss 6.1504
[Train] Iteration 206, total loss 8.0572, policy loss -6.6651, value loss 8.2441, entropy loss -0.0159, predict loss 6.4785
[Train] Iteration 207, total loss 14.8903, policy loss -4.9878, value loss 13.4278, entropy loss -0.0156, predict loss 6.4507
[Train] Iteration 208, total loss 5.5951, policy loss -4.9586, value loss 4.2795, entropy loss -0.0177, predict loss 6.2746
[Train] Iteration 209, total loss 13.0970, policy loss -5.6508, value loss 12.5435, entropy loss -0.0107, predict loss 6.2045
[Train] Iteration 210, total loss 10.3914, policy loss -5.7323, value loss 9.6839, entropy loss -0.0159, predict loss 6.4401
[Train] Iteration 211, total loss 4.2788, policy loss -7.1171, value loss 4.7458, entropy loss -0.0061, predict loss 6.6502
[Train] Iteration 212, total loss 3.4806, policy loss -5.8728, value loss 2.7144, entropy loss -0.0100, predict loss 6.6392
[Train] Iteration 213, total loss 9.4341, policy loss -5.3126, value loss 8.5740, entropy loss -0.0092, predict loss 6.1729
[Train] Iteration 214, total loss 6.5509, policy loss -5.4094, value loss 5.3422, entropy loss -0.0151, predict loss 6.6183
[Train] Iteration 215, total loss 9.3625, policy loss -5.5768, value loss 8.4285, entropy loss -0.0101, predict loss 6.5110
[Train] Iteration 216, total loss 4.9298, policy loss -6.0170, value loss 4.8522, entropy loss -0.0174, predict loss 6.0949
[Train] Iteration 217, total loss 7.3450, policy loss -6.7309, value loss 7.3431, entropy loss -0.0159, predict loss 6.7331
[Train] Iteration 218, total loss 16.1995, policy loss -6.0101, value loss 15.4016, entropy loss -0.0074, predict loss 6.8081
[Train] Iteration 219, total loss 8.7800, policy loss -6.0638, value loss 8.2042, entropy loss -0.0079, predict loss 6.6397
[Train] Iteration 220, total loss 5.6859, policy loss -5.7721, value loss 4.8249, entropy loss -0.0108, predict loss 6.6333
